index,employees,CEO_age,Name,Symbol,ipoDate,sector,IPO_weekday,firstday_volume,inweek_volume,Y_Open_Price,intra_day_up,intra_week_up,intra_month_up,SP500_lastweek_return,positive,negative,neutral
104,130.0,63.0,KOSMOS ENERGY LTD.,KOS,2011-05-11,Energy,2,17542159.0,13151796.509999998,19.5,1,1,1,-0.001996831906323398,0.33,0.33,0.33
105,19.0,57.46021093000968,VOC ENERGY TRUST,VOC,2011-05-05,Energy,3,5298808.0,2278329.6099999994,21.450000762939453,1,1,1,-0.0012787465820370666,0.33,0.33,0.33
106,640.0,59.0,"THERMON GROUP HOLDINGS, INC.",THR,2011-05-05,Industrials,3,5757009.0,635205.9300000002,12.050000190734863,0,0,1,-0.0012787465820370666,0.33,0.33,0.33
107,1570.0,52.0,RENREN INC.,RENN,2011-05-04,Technology,2,18158694.0,18994557.6,292.5,1,1,1,0.001299742037682334,0.33,0.33,0.33
109,0.0,60.0,"AG MORTGAGE INVESTMENT TRUST, INC.",MITT,2011-06-30,Real Estate,3,2707102.0,606285.6599,58.5,1,1,1,0.00278693776244397,0.33,0.33,0.33
110,571.0,62.0,"CHEFS' WAREHOUSE, INC.",CHEF,2011-07-28,Consumer Defensive,3,6574029.0,1421292.6199000005,17.0,0,0,1,-0.002786772806658241,0.33,0.33,0.33
112,39.0,55.0,HORIZON THERAPEUTICS PUBLIC LTD CO,HZNP,2011-07-28,Healthcare,3,564393.0,650713.588,9.0,0,1,1,-0.002786772806658241,0.33,0.33,0.33
116,1180.0,65.0,"SUNCOKE ENERGY, INC.",SXC,2011-07-21,Basic Materials,3,11411070.0,2620590.9799999995,17.0,1,1,1,0.003285473481472932,0.33,0.33,0.33
123,3107.493309545049,49.0,"ANGIE'S LIST, INC.",ANGI,2011-11-17,Technology,3,6507703.0,2042926.8130000005,18.0,1,1,1,-0.006677079552769543,0.33,0.33,0.33
124,45.0,59.0,"CLOVIS ONCOLOGY, INC.",CLVS,2011-11-16,Healthcare,2,1912690.0,572814.0900000003,13.050000190734863,1,1,0,-0.002600566561159764,0.33,0.33,0.33
128,2416.0,47.0,"GROUPON, INC.",GRPN,2011-11-04,Technology,4,49813026.0,23565286.48,560.0,1,1,1,0.0015153392926044054,0.33,0.33,0.33
131,183.0,70.0,"LAREDO PETROLEUM, INC.",LPI,2011-12-15,Energy,3,6656703.0,1287081.406,345.0,0,0,0,-0.004849347651091304,0.33,0.33,0.33
133,18.0,58.0,"VERASTEM, INC.",VSTM,2012-01-27,Healthcare,4,747711.0,364043.37100000004,11.0,0,1,0,0.0009122879738671097,0.33,0.33,0.33
134,684.0,48.0,"GUIDEWIRE SOFTWARE, INC.",GWRE,2012-01-25,Technology,2,7030831.0,1942151.81,16.75,0,0,0,0.0040562382802081165,0.33,0.33,0.33
135,234.0,64.0,"RENEWABLE ENERGY GROUP, INC.",REGI,2012-01-19,Energy,3,3599984.0,930116.4961000003,10.100000381469727,0,1,1,0.0037405132850798495,0.33,0.33,0.33
136,511.0,64.0,PROTO LABS INC,PRLB,2012-02-24,Industrials,4,4042879.0,765542.64,25.0,0,0,0,0.001616498042894765,0.33,0.33,0.33
137,312.0,67.0,BRIGHTCOVE INC,BCOV,2012-02-17,Technology,4,4350701.0,965253.5199999997,14.5,1,0,0,0.0012056791562733585,0.33,0.33,0.33
138,617.0,62.0,"HOMESTREET, INC.",HMST,2012-02-10,Financial Services,4,2473232.0,589011.2275000004,11.75,1,1,0,0.0020068614807987606,0.33,0.33,0.33
143,6168.0,62.0,"EPAM SYSTEMS, INC.",EPAM,2012-02-08,Technology,2,3336243.0,1461423.81,13.75,0,1,0,0.003986125902271828,0.33,0.33,0.33
144,41.0,70.0,MATADOR RESOURCES CO,MTDR,2012-02-02,Energy,3,4574636.0,1543218.8397,11.75,1,1,0,0.0011925794655620761,0.33,0.33,0.33
145,685.0,60.0,"U.S. SILICA HOLDINGS, INC.",SLCA,2012-02-01,Basic Materials,2,11511901.0,4083822.3400000003,17.25,1,1,1,0.0008895845539482115,0.33,0.33,0.33
146,313.0,49.0,"ENPHASE ENERGY, INC.",ENPH,2012-03-30,Technology,4,5049113.0,1204798.9199999997,7.5,1,1,0,0.0005886233633897968,0.33,0.33,0.33
148,218.0,59.0,MERRIMACK PHARMACEUTICALS INC,MACK,2012-03-29,Healthcare,3,377437.0,507221.00999999983,49.17387771606445,1,1,1,-0.00020703850053118065,0.33,0.33,0.33
150,670.0,63.0,REGIONAL MANAGEMENT CORP.,RM,2012-03-28,Financial Services,2,2354311.0,629902.73,17.0,1,1,1,-0.0004059796888190581,0.33,0.33,0.33
152,2934.0,51.0,VIPSHOP HOLDINGS LTD,VIPS,2012-03-23,Consumer Cyclical,4,51735040.0,20720057.9912,0.6000000238418579,1,1,1,0.0002987207866661512,0.33,0.33,0.33
153,838.0,63.0,CAESARSTONE LTD.,CSTE,2012-03-22,Basic Materials,3,4904048.0,1884263.34,10.989999771118164,1,1,0,-0.00031629642931209546,0.33,0.33,0.33
154,1133.0,66.0,"EXACTTARGET, INC.",ET,2012-03-22,Energy,3,3870800.0,79637600.0,10.75,1,1,1,-0.00031629642931209546,0.33,0.33,0.33
155,2800.0,56.0,ALLISON TRANSMISSION HOLDINGS INC,ALSN,2012-03-15,Consumer Cyclical,3,13928789.0,5431640.21,23.0,1,1,1,0.006201821567433462,0.33,0.33,0.33
156,667.0,61.0,"MACOM TECHNOLOGY SOLUTIONS HOLDINGS, INC.",MTSI,2012-03-15,Technology,3,4202453.0,1135310.705,19.100000381469727,0,0,0,0.006201821567433462,0.33,0.33,0.33
157,918.0,45.0,YELP INC,YELP,2012-03-02,Technology,4,17507620.0,7058184.815999999,22.010000228881836,0,0,0,0.00126148980182883,0.33,0.33,0.33
159,0.0,52.0,ARES COMMERCIAL REAL ESTATE CORP,ACRE,2012-04-26,Real Estate,3,3160539.0,1440315.67,18.0,1,1,1,0.0009680772825345471,0.33,0.33,0.33
160,9.0,57.46021093000968,CLEARSIGN COMBUSTION CORP,CLIR,2012-04-25,Industrials,2,499136.0,414356.6099999999,4.110000133514404,0,0,0,0.0022261498874396007,0.33,0.33,0.33
163,463.0,58.0,SPLUNK INC,SPLK,2012-04-19,Technology,3,14125127.0,4369931.1411999995,32.0,0,0,0,0.0019638100361743594,0.33,0.33,0.33
165,4100.0,63.0,MRC GLOBAL INC.,MRC,2012-04-12,Energy,3,10151301.0,2609571.16,20.5,0,0,1,-0.003147401653001266,0.33,0.33,0.33
166,3150.0,57.46021093000968,"FORUM ENERGY TECHNOLOGIES, INC.",FET,2012-04-12,Energy,3,11830515.0,5351216.5200000005,450.0,1,1,1,-0.003147401653001266,0.33,0.33,0.33
170,3600.0,68.0,"TILLY'S, INC.",TLYS,2012-05-04,Consumer Cyclical,4,9219787.0,2108857.9400000004,18.799999237060547,1,1,1,-0.0022047703313365285,0.33,0.33,0.33
172,1300.0,57.46021093000968,CARLYLE GROUP L.P.,CG,2012-05-03,Financial Services,3,13299419.0,20946818.582999997,22.0,1,1,1,0.002051201256722836,0.33,0.33,0.33
173,71.0,61.0,SUPERNUS PHARMACEUTICALS INC,SUPN,2012-05-01,Healthcare,1,676810.0,335822.77499999997,6.5,1,0,1,0.0028265953017546164,0.33,0.33,0.33
174,728.0,61.0,"SERVICENOW, INC.",NOW,2012-06-29,Technology,4,10922574.0,2106521.7,23.75,0,0,0,0.0007894485609623977,0.33,0.33,0.33
177,1554.0,57.46021093000968,"NATURAL GROCERS BY VITAMIN COTTAGE, INC.",NGVC,2012-07-25,Consumer Defensive,2,6309897.0,1623906.4380000003,18.0,1,1,1,-0.001645463856060744,0.33,0.33,0.33
178,3954.0,62.0,"CHUY'S HOLDINGS, INC.",CHUY,2012-07-24,Consumer Cyclical,1,4343114.0,1194949.004,15.0,0,0,0,-0.0019312427519546807,0.33,0.33,0.33
179,692.0,54.0,PALO ALTO NETWORKS INC,PANW,2012-07-20,Technology,4,7016057.0,2963383.760999999,18.383333206176758,1,1,0,0.002277364974045578,0.33,0.33,0.33
180,2960.0,57.0,"FIVE BELOW, INC",FIVE,2012-07-19,Consumer Cyclical,3,10460565.0,2260701.41,26.049999237060547,0,0,0,0.0037126130220418757,0.33,0.33,0.33
181,86.0,63.0,"FS BANCORP, INC.",FSBW,2012-07-10,Financial Services,1,1052280.0,496609.0001000002,5.125,1,1,1,0.0013896043060826876,0.33,0.33,0.33
183,710.0,57.46021093000968,MANCHESTER UNITED PLC,MANU,2012-08-10,Consumer Cyclical,4,32390987.0,5954599.949899999,14.050000190734863,1,1,1,0.003170799641496675,0.33,0.33,0.33
184,1400.0,57.0,PERFORMANT FINANCIAL CORP,PFMT,2012-08-10,Industrials,4,6056025.0,1946952.2385,9.25,0,0,0,0.003170799641496675,0.33,0.33,0.33
185,86000.0,64.0,"BLOOMIN' BRANDS, INC.",BLMN,2012-08-08,Consumer Cyclical,2,10940397.0,4359075.525,11.600000381469727,1,1,0,0.001768094565597075,0.33,0.33,0.33
186,724.0,64.0,GLOBUS MEDICAL INC,GMED,2012-08-03,Healthcare,4,3890538.0,732867.303,13.100000381469727,0,0,0,0.005636855562073844,0.33,0.33,0.33
187,334.0,77.0,"QUALYS, INC.",QLYS,2012-09-28,Technology,4,9749470.0,1558024.9499000001,12.0,0,0,1,-0.0019880098158317878,0.33,0.33,0.33
188,0.0,65.0,"SUMMIT MIDSTREAM PARTNERS, LP",SMLP,2012-09-28,Energy,4,8598015.0,2675221.326,315.0,1,1,1,-0.0019880098158317878,0.33,0.33,0.33
189,1176.0,62.0,NATIONAL BANK HOLDINGS CORP,NBHC,2012-09-20,Financial Services,3,3535453.0,983087.02,20.25,1,1,1,0.0026573921139894097,0.33,0.33,0.33
190,37.0,61.0,"SPIRIT REALTY CAPITAL, INC.",SRC,2012-09-20,Real Estate,3,31593666.0,16547935.449899994,35.313194274902344,1,1,1,0.0026573921139894097,0.33,0.33,0.33
191,0.0,69.0,MPLX LP,MPLX,2012-10-26,Energy,4,14401301.0,1863830.0600000003,25.5,1,1,1,-0.004834025662320099,0.33,0.33,0.33
193,1550.0,56.0,"WORKDAY, INC.",WDAY,2012-10-12,Technology,4,18137050.0,8728899.170000002,48.04999923706055,0,0,0,-0.0022076584622371864,0.33,0.33,0.33
194,54.0,60.0,"DIAMONDBACK ENERGY, INC.",FANG,2012-10-12,Energy,4,6468591.0,1738363.5299999996,17.81999969482422,1,1,1,-0.0022076584622371864,0.33,0.33,0.33
195,18.0,54.0,"INTERCEPT PHARMACEUTICALS, INC.",ICPT,2012-10-11,Healthcare,3,813752.0,343055.5229999999,19.399999618530273,0,0,0,-0.0012661517635201372,0.33,0.33,0.33
196,224.0,48.0,"SHUTTERSTOCK, INC.",SSTK,2012-10-11,Technology,3,5873665.0,1064892.7564999997,22.5,1,1,0,-0.0012661517635201372,0.33,0.33,0.33
198,425.0,58.0,AMBARELLA INC,AMBA,2012-10-10,Technology,2,3566608.0,1262630.9600999998,6.710000038146973,1,1,0,-0.00116945213131974,0.33,0.33,0.33
200,15000.0,59.0,BERRY GLOBAL GROUP INC,BERY,2012-10-04,Consumer Cyclical,3,17687767.0,6813539.0254,15.25,1,1,1,0.0019653046675497388,0.33,0.33,0.33
201,56.0,53.0,REGULUS THERAPEUTICS INC.,RGLS,2012-10-04,Healthcare,3,1602661.0,2064398.1265999994,532.7999877929688,1,1,0,0.0019653046675497388,0.33,0.33,0.33
202,1449.0,51.0,LUXFER HOLDINGS PLC,LXFR,2012-10-03,Industrials,2,3497038.0,664184.0459999999,11.0,1,1,1,-0.0005598798099360243,0.33,0.33,0.33
203,1222.0,49.0,YY INC.,YY,2012-11-21,Technology,2,4567029.0,2284065.7,10.5,1,0,0,0.0011792242495014221,0.33,0.33,0.33
204,3.0,57.0,"WHEELER REAL ESTATE INVESTMENT TRUST, INC.",WHLR,2012-11-19,Real Estate,0,467.0,9752.7616,50.0,1,1,1,0.001014311793925796,0.33,0.33,0.33
205,10.0,71.0,ATOSSA GENETICS INC,ATOS,2012-11-08,Healthcare,3,1153.0,1737.0,819.0,0,1,1,-0.0034557068562125004,0.33,0.33,0.33
206,0.0,54.0,"DELEK LOGISTICS PARTNERS, LP",DKL,2012-11-02,Energy,4,6563915.0,1433820.6108,23.110000610351562,1,1,1,-0.0019371182113752106,0.33,0.33,0.33
207,2900.0,64.0,RH,RH,2012-11-02,Consumer Cyclical,4,6838208.0,1917904.855,32.04999923706055,1,0,0,-0.0019371182113752106,0.33,0.33,0.33
208,1578.0,71.0,PBF ENERGY INC.,PBF,2012-12-13,Energy,3,17927278.0,4296217.738499999,28.0,1,1,1,0.0012609470932904352,0.33,0.33,0.33
209,53.0,61.0,"TRI POINTE GROUP, INC.",TPH,2013-01-31,Consumer Cyclical,3,12752948.0,4274051.6321,19.559999465942383,1,1,1,0.0005361463655464892,0.33,0.33,0.33
210,0.0,80.0,GLADSTONE LAND CORP,LAND,2013-01-29,Real Estate,1,890155.0,558850.9799999997,15.15999984741211,1,1,1,0.002578189171835245,0.33,0.33,0.33
212,22000.0,51.0,BRIGHT HORIZONS FAMILY SOLUTIONS INC.,BFAM,2013-01-25,Consumer Cyclical,4,9225627.0,1816800.4479999999,27.75,0,0,0,0.0029472663912997504,0.33,0.33,0.33
213,14072.0,57.46021093000968,NORWEGIAN CRUISE LINE HOLDINGS LTD.,NCLH,2013-01-18,Consumer Cyclical,4,17763549.0,5196029.537,25.100000381469727,1,0,0,0.0024272976896419734,0.33,0.33,0.33
216,227.0,63.0,"USA COMPRESSION PARTNERS, LP",USAC,2013-01-15,Energy,1,9229831.0,3804712.517,17.5,1,1,1,0.0005768968308293669,0.33,0.33,0.33
218,98.0,60.0,"CONNECTONE BANCORP, INC.",CNOB,2013-02-12,Financial Services,1,6700.0,55200.0,12.550000190734863,1,1,1,0.0006098045742177442,0.33,0.33,0.33
221,4470.0,67.0,BOISE CASCADE CO,BCC,2013-02-06,Basic Materials,2,13196462.0,4103563.7800000003,25.440000534057617,1,1,0,0.0011603877653535274,0.33,0.33,0.33
