Price;employees;CEO_age;intra_day_up;intra_week_up;intra_month_up;Name;Symbol;ipoDate;sector;IPO_weekday;firstday_volume;inweek_volume;inmonth_volume;SP500_lastweek_return;company_string;positive;negative;neutral
24.86;0.0;57.0;0;0;1;AllianzGI Diversified Income & Convertible Fund;ACV;2015-05-22;Other;4;1279826.0;162405.13;1587011.8347000002;0.001875106566882;AllianzGI Diversified Income  Convertible Fund;0.33;0.33;0.33
1454716.5284212418;7293.424462924463;54.8125;0;0;0;iShares MSCI ACWI Index Fund;ACWI;2008-03-26;Other;2;0.0;41932.2759;276269.5218999999;0.0059953832496119;iShares MSCI ACWI Index Fund;0.33;0.33;0.33
1454716.5284212418;7293.424462924463;54.8125;0;0;0;iShares MSCI ACWI ex US Index Fund;ACWX;2008-03-26;Other;2;0.0;33889658.92909997;164933462.43927416;0.0059953832496119;iShares MSCI ACWI ex US Index Fund;0.33;0.33;0.33
7.0;295.0;38.0;0;0;0;ADMA Biologics Inc;ADMA;2013-10-17;Health Care;3;145708.0;149258.43999999997;457216.0;0.006610450951927;ADMA Biologics Inc;0.14770339336246247;0.03020463511347765;0.8220919966697693
48.12;7293.424462924463;57.0;0;1;0;Adient plc;ADNT;2016-10-17;Capital Goods;0;2547887.0;6375210.834999999;66863522.4606;-0.0022690163122941;Adient plc;0.043685322254896165;0.03249963484704492;0.9238150835037231
24.05;78.0;55.0;0;1;0;Adverum Biotechnologies, Inc.;ADVM;2014-07-31;Health Care;3;6316019.0;1045487.5099;3179155.1608;-0.0038263594919846;Adverum Biotechnologies Inc;0.33;0.33;0.33
23.0;407.0;44.0;0;1;0;Aercap Holdings N.V.;AER;2006-11-21;Technology;1;16000699.0;7327856.159999998;13372851.257000005;0.0022532564203542;Aercap Holdings NV;0.33;0.33;0.33
49.35;4400.0;61.0;0;0;0;Anadarko Petroleum Corporation;AEUA;2015-06-05;Energy;4;4358662.0;1895115.3123;4100852.747800002;-0.0020678349110755;Anadarko Petroleum Corporation;0.15668236642134387;0.054596188402437865;0.7887214385382422
12.81;3600.0;52.0;0;1;0;Armstrong Flooring, Inc.;AFI;2016-03-17;Consumer Non-Durables;3;1099.0;32167.065;13442609.295500008;0.0043859103120673;Armstrong Flooring Inc;0.2751103656882622;0.056965256861624194;0.667924383587866
3.0992;9300.0;45.0;0;0;0;AmTrust Financial Services, Inc.;AFSI;2006-11-13;Finance;0;1856711.0;4892119.854599999;164933462.43927416;0.0017863321101967;AmTrust Financial Services Inc;0.33;0.33;0.33
19.95;0.0;54.8125;0;0;0;Apollo Senior Floating Rate Fund Inc.;AFT;2011-02-24;Other;3;761700.0;287340.12000000005;1302300.6077000003;-0.002801709278666;Apollo Senior Floating Rate Fund Inc;0.07829009497263387;0.024307214303827644;0.897402681288172
668;0.0;57.0;0;0;0;First Majestic Silver Corp.;AG;2008-10-27;Basic Industries;0;83035.0;256558.07989999992;1265039.2007000002;-0.0148545170795008;First Majestic Silver Corp;0.5448487574855486;0.06074839582045869;0.3944028640786807
20.0;7293.424462924463;54.8125;0;0;0;Advent Claymore Convertible Securities and Income Fund II;AGC;2007-05-25;Other;4;78900.0;168201.96000000002;1092543.7601000003;0.0001622880817902;Advent Claymore Convertible Securities and Income Fund II;0.33;0.33;0.33
40.0;7293.424462924463;54.8125;0;0;0;Alpine Global Dynamic Dividend Fund;AGD;2006-07-26;Other;2;160600.0;238404.16;1786845.8680000002;0.0039268850256632;Alpine Global Dynamic Dividend Fund;0.33;0.33;0.33
3.0955;0.0;56.0;0;0;0;Alamos Gold Inc.;AGI;2008-10-27;Basic Industries;0;30100.0;34684.61760000001;413081.1651999999;-0.0148545170795008;Alamos Gold Inc;0.33;0.33;0.33
24.56;56.0;53.0;0;0;0;AGNC Investment Corp.;AGNCB;2014-05-07;Consumer Services;2;480300.0;3018836.6799999992;4637810.737499999;0.0006800514131205;AGNC Investment Corp;0.07521819621324534;0.04121537245810029;0.883566427230835
24.85;56.0;53.0;0;0;0;AGNC Investment Corp.;AGNCN;2017-08-17;Consumer Services;3;1800549.0;1886769.915;6686130.206499999;-0.0025763404284362;AGNC Investment Corp;0.1086107895373263;0.07341371327897322;0.8179754985289441
50.03;7293.424462924463;54.8125;0;1;1;WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund;AGND;2013-12-16;Other;0;0.0;3386.3599999999988;37072.986399999965;0.0001437864239398;WisdomTree Barclays Negative Duration US Aggregate Bond Fund;0.33;0.33;0.33
36.12;6578.0;64.0;0;0;0;Avangrid, Inc.;AGR;2015-12-17;Public Utilities;3;1181540.0;19692505.979999997;31469992.816;-0.0014373993631113;Avangrid Inc;0.38470721670559477;0.023079888895153954;0.5922129154205322
50.07;7293.424462924463;54.8125;0;0;1;WisdomTree Barclays Interest Rate Hedged U.S. Aggregate Bond F;AGZD;2013-12-16;Other;0;0.0;18600.479799999997;154842.53779999993;0.0001437864239398;WisdomTree Barclays Interest Rate Hedged US Aggregate Bond F;0.33;0.33;0.33
19.7;1090.0;61.0;0;1;1;A.H. Belo Corporation;AHC;2008-01-23;Consumer Services;2;6000.0;33889658.92909997;164933462.43927416;-0.0063496359601474;AH Belo Corporation;0.33;0.33;0.33
24.95;3321.0;66.0;0;1;1;Alliance Holdings GP, L.P.;AHGP;2006-05-10;Energy;2;5216148.0;1969045.07;5947755.077999996;0.0019322499136632;Alliance Holdings GP LP;0.33;0.33;0.33
19.5;152.0;46.0;0;0;0;Ashford Hospitality Prime, Inc.;AHP;2013-11-06;Consumer Services;2;8945.0;24283.149999999998;2403194.0909999995;0.0006861175183737;Ashford Hospitality Prime Inc;0.11574244638904928;0.08451883401721712;0.7997387258166616
9.75;0.0;54.8125;0;0;0;Avista Healthcare Public Acquisition Corp.;AHPA;2017-01-05;Health Care;3;18600.0;121195.82040000004;202694.05640000023;0.0003428095979014;Avista Healthcare Public Acquisition Corp;0.0449689552187919;0.0321969017386436;0.9228342175483704
9.82;0.0;54.8125;0;0;0;Avista Healthcare Public Acquisition Corp.;AHPAU;2016-10-11;Health Care;1;7740076.0;782506.2860000002;1237080.4630000007;-0.0020760081855207;Avista Healthcare Public Acquisition Corp;0.2188295116648078;0.02109930645674462;0.7600711554288864
1454716.5284212418;7293.424462924463;54.8125;0;0;0;iShares Asia 50 ETF;AIA;2007-11-13;Other;1;0.0;33889658.92909997;164933462.43927416;-0.0025762391692463;iShares Asia 50 ETF;0.33;0.33;0.33
19.97;7293.424462924463;54.8125;0;0;0;Apollo Tactical Income Fund Inc.;AIF;2013-02-26;Other;1;567899.0;204898.13;1016607.1108000004;-0.0022633499857489;Apollo Tactical Income Fund Inc;0.0891849435865879;0.020590602420270353;0.890224426984787
13.36;4580.0;57.0;0;0;0;Altra Industrial Motion Corp.;AIMC;2006-12-15;Capital Goods;4;5134619.0;1095885.034;2842551.5989999995;0.0014349352946555;Altra Industrial Motion Corp;0.33;0.33;0.33
281.25;17.0;75.0;0;0;0;Precision Therapeutics Inc.;AIPT;2010-04-09;Health Care;4;28.0;19765.75;79314.625;0.0025621077275683;Precision Therapeutics Inc;0.0882977247238159;0.0308105908334255;0.8808916807174683
19.69;7293.424462924463;54.8125;0;0;1;First Trust RBA American Industrial Renaissance ETF;AIRR;2014-03-10;Other;0;0.0;1155289.5689;1987386.0810999991;0.0017731113582495;First Trust RBA American Industrial Renaissance ETF;0.27597170306969243;0.3452110686532093;0.37881722871879514
2.5;63.0;46.0;0;0;0;Akoustis Technologies, Inc.;AKTS;2015-05-28;Public Utilities;3;100.0;15684.0;21744.96800000003;-0.0005508574923583;Akoustis Technologies Inc;0.23573884155069078;0.01930208397763113;0.7449590989521572
250.0;0.0;57.0;0;0;1;Akari Therapeutics Plc;AKTX;2013-05-07;Health Care;1;2.0;5002.0;26064.0;0.0039205322980968;Akari Therapeutics Plc;0.33;0.33;0.33
26.18;7293.424462924463;54.0;0;1;0;Alexander & Baldwin, Inc.;ALEX;2012-06-14;Consumer Services;3;1600.0;3311.4000000000037;9017740.139099997;0.0048398750346963;Alexander  Baldwin Inc;0.2482662712390296;0.03629394279621933;0.7154397821944692
24.0;3752.0;67.0;0;0;0;Allegiant Travel Company;ALGT;2006-12-08;Transportation;4;5540965.0;1883397.19;3815202.318999999;0.0010624818060767;Allegiant Travel Company;0.33;0.33;0.33
47.49;10000.0;59.0;0;1;1;Allegion plc;ALLE;2013-11-18;Consumer Services;0;587184.0;2556709.8400000017;46072364.28009999;0.0036052198608169;Allegion plc;0.05502405203878877;0.034405260939489646;0.9105707054788416
13.81;477.0;57.0;0;1;1;Allot Communications Ltd.;ALLT;2006-11-16;Technology;3;5690914.0;3329204.186;6870736.691100001;0.001744070539355;Allot Communications Ltd;0.33;0.33;0.33
0.0004;38.0;50.0;0;0;0;Alpine Immune Sciences, Inc.;ALPN;2009-09-21;Health Care;0;25450.0;8;0.0447999999999999;0.0028025660139475;Alpine Immune Sciences Inc;0.33;0.33;0.33
15.14;7293.424462924463;54.8125;0;1;1;Global X SuperDividend Alternatives ETF;ALTY;2015-07-13;Other;0;0.0;36556.9489;81311.11270000003;0.001560740480436;Global X SuperDividend Alternatives ETF;0.2821571750621539;0.08300143201379777;0.6348413954868501
18.0;113.0;51.0;0;0;0;Ambac Financial Group, Inc.;AMBC;2013-05-01;Finance;2;922601.0;11868913.5801;30921873.849099983;0.0018544579964057;Ambac Financial Group Inc;0.06997510496976554;0.17708086338022658;0.7529440165079874
19.2;410.0;49.0;0;1;1;AirMedia Group Inc;AMCN;2007-11-07;Technology;2;11907600.0;9144451.92;19422298.55240001;-0.0060525802004413;AirMedia Group Inc;0.33;0.33;0.33
31.0;2205.0;66.0;0;0;0;AMC Networks Inc.;AMCX;2011-06-16;Consumer Services;3;1827551.0;4285918.254999999;44063453.67750001;-0.0018837435181145;AMC Networks Inc;0.24670781732768451;0.09148036788104384;0.661811817161463
954.0;33.0;53.0;0;0;0;Amedica Corporation;AMDA;2014-02-13;Health Care;3;10898.0;29254.0;167693.91000000006;0.0059836525731991;Amedica Corporation;0.09607198461890215;0.01681114640086885;0.8871169090270996
32.5;1149.0;44.0;0;0;0;Apollo Medical Holdings, Inc.;AMEH;2008-09-08;Consumer Services;0;10.0;33889658.92909997;164933462.43927416;-0.0014274635800434;Apollo Medical Holdings Inc;0.33;0.33;0.33
3.7;34.0;54.8125;0;0;0;Alliance MMA, Inc.;AMMA;2016-10-06;Consumer Services;3;97267.0;430485.8665;902813.5149000004;7.215776603388045e-05;Alliance MMA Inc;0.25391711465553524;0.053339946899831854;0.69274293112847
9.82;7293.424462924463;64.0;0;0;0;Alta Mesa Resources, Inc.;AMR;2017-05-01;Finance;0;10300.0;1579890.6028999998;3381370.634699998;0.0019688633244427;Alta Mesa Resources Inc;0.1631760252639651;0.15741161160314304;0.679412361807548
12.49;127.0;54.0;0;0;1;A-Mark Precious Metals, Inc.;AMRK;2014-03-17;Basic Industries;0;34145.0;123029.30090000002;377361.5371;-0.0013730519028619;AMark Precious Metals Inc;0.33;0.33;0.33
152.5;140.0;53.0;0;0;0;Aemetis, Inc;AMTX;2006-06-27;Basic Industries;1;2700.0;24574.6;66338.9;-0.0013931779737266;Aemetis Inc;0.33;0.33;0.33
9.66;103.0;71.0;0;0;0;Anchor Bancorp;ANCB;2011-01-26;Finance;2;484413.0;609516.2999999999;1047234.4781000004;0.0003857131542453;Anchor Bancorp;0.21333415371676287;0.06274614219243323;0.7239197244246801
23.0;250.0;61.0;0;0;0;Andeavor Logistics LP;ANDX;2011-04-20;Energy;2;9940036.0;2329665.904;7181311.829700001;0.0006644132540854;Andeavor Logistics;0.33;0.33;0.33
50.25;56000.0;56.0;0;0;0;Anthem, Inc.;ANTX;2015-05-07;Health Care;3;12171836.0;8914753.252400002;16233468.866900006;-0.0017892552710887;Anthem Inc;0.19517467850150322;0.04883253132550532;0.7559927942481708
14.53;0.0;54.8125;0;0;0;Aegean Marine Petroleum Network Inc.;ANW;2006-12-08;Energy;4;7333100.0;2305214.9;4734570.070000001;0.0010624818060767;Aegean Marine Petroleum Network Inc;0.33;0.33;0.33
23.375;0.0;55.0;0;0;0;Sphere 3D Corp.;ANY;2013-08-12;Technology;0;3400.0;14510.3075;65793.54000000002;-0.0014579580637196;Sphere 3D Corp;0.171186841558665;0.04361520419124418;0.785197946720007
40.0;7293.424462924463;54.8125;0;0;0;Alpine Total Dynamic Dividend Fund;AOD;2007-01-26;Other;4;771100.0;2112582.4399999995;10318499.7178;-0.0008267828347705;Alpine Total Dynamic Dividend Fund;0.9251169562339784;0.0236041843891143;0.0512788332998752
29.23;1920.0;62.0;0;0;0;American Public Education, Inc.;APEI;2007-11-09;Consumer Services;4;2997127.0;1188845.76;2596125.824;-0.0089656707340172;American Public Education Inc;0.1998713994398713;0.28529647047467094;0.5148321175399948
17.03;56.0;44.0;0;0;0;Apple Hospitality REIT, Inc.;APLE;2015-05-18;Consumer Services;0;2197490.0;4707441.84;33502314.791;0.0028156281088747;Apple Hospitality REIT Inc;0.18230901362049742;0.03376421935582922;0.7839267596670794
22.0;7293.424462924463;52.0;0;0;0;Archrock Partners, L.P.;APLP;2006-10-17;Public Utilities;1;4382320.0;956098.8200000002;2430120.9600000004;0.0015314752953225;Archrock Partners LP;0.33;0.33;0.33
1.8;146.0;48.0;0;0;0;Digital Turbine, Inc.;APPS;2006-06-30;Miscellaneous;4;3500.0;33889658.92909997;164933462.43927416;0.0020837802863252;Digital Turbine Inc;0.33;0.33;0.33
22.5;753.0;46.0;0;1;1;Apptio, Inc.;APTI;2016-09-23;Technology;4;6612306.0;4305139.676900001;10497688.592099998;0.0026139551555183;Apptio Inc;0.1091707359638906;0.03674081700944128;0.8540884256362915
17.7987;129000.0;55.0;0;1;1;Aptiv PLC;APTV;2011-11-17;Capital Goods;3;20962021.0;11240524.735600002;25216706.943100005;-0.0066770795527695;Aptiv PLC;0.33;0.33;0.33
8.0;121.0;55.0;0;1;1;Aptevo Therapeutics Inc.;APVO;2016-07-20;Health Care;2;600.0;154496.95010000002;17572176.8222;0.0023845341821178;Aptevo Therapeutics Inc;0.30424712349971134;0.055754980200207666;0.6399979112195033
0.1;37.0;67.0;0;0;0;AquaBounty Technologies, Inc.;AQB;2017-01-10;Other;1;1380.0;10388.55;1279443.7650000008;0.001252784757455;AquaBounty Technologies Inc;0.23852731257274346;0.027214443160069914;0.7342582224188624
3.22;7293.424462924463;57.0;0;1;0;Algonquin Power & Utilities Corp.;AQN;2009-09-08;Public Utilities;1;5600.0;162426.5047;1180747.9241999998;-0.0007125335141987;Algonquin Power  Utilities Corp;0.23752681644899504;0.037837450858205515;0.7246357431369168
19.75;7293.424462924463;50.0;0;0;0;Ares Dynamic Credit Allocation Fund, Inc.;ARDC;2012-11-28;Other;2;1064950.0;607905.65;1344275.2789000005;0.0052102565164226;Ares Dynamic Credit Allocation Fund Inc;0.33;0.33;0.33
12.1;97.0;59.0;0;0;0;Approach Resources Inc.;AREX;2007-11-08;Energy;3;1969703.0;380170.2620000001;1161006.3038;-0.0052115256862502;Approach Resources Inc;0.33;0.33;0.33
160.0;39.0;54.0;0;0;0;Argos Therapeutics, Inc.;ARGS;2014-02-07;Health Care;4;121891.0;32895.397999999994;195492.46;0.0019034815950722;Argos Therapeutics Inc;0.21789122386835516;0.035793245583772615;0.7463155172765255
18.5;0.0;51.0;0;1;1;Apollo Commercial Real Estate Finance;ARI;2009-09-24;Consumer Services;3;5842710.0;3245583.76;6793208.997400003;-0.0002158224020368;Apollo Commercial Real Estate Finance;0.12145224579299485;0.10628455054635798;0.7722632282227277
27.0;31.0;54.8125;0;0;0;ARMO BioSciences, Inc.;ARMO;2018-01-26;Health Care;4;4365802.0;2141507.9501000005;6798057.649500003;0.0035562541528734;ARMO BioSciences Inc;0.14109669954745796;0.030943070768148822;0.8279602219919105
16.81;41500.0;54.8125;0;0;0;Arconic Inc.;ARNC;2016-10-20;Capital Goods;3;2521.0;287241.4725;148568483.23749995;0.0003125123015323;Arconic Inc;0.07274808761264592;0.1376646022267994;0.7895873075439817
72.24;19.0;60.0;0;0;0;ARMOUR Residential REIT, Inc.;ARR;2007-12-03;Consumer Services;0;51950.0;65571.16;164933462.43927416;0.0056430222285327;ARMOUR Residential REIT Inc;0.33;0.33;0.33
25.0;7293.424462924463;54.0;0;0;1;Ascent Capital Group, Inc.;ASCMA;2008-09-17;Consumer Services;2;13.0;26665.859;5446123.8639;-0.0126877357628138;Ascent Capital Group Inc;0.33;0.33;0.33
24.8799;7293.424462924463;54.8125;0;0;1;FlexShares Real Assets Allocation Index Fund;ASET;2015-11-23;Other;0;0.0;11100.600000000002;76694.29389999999;0.0028530284080714;FlexShares Real Assets Allocation Index Fund;0.1328771114349365;0.0655604675412178;0.801562488079071
12.0;1510.0;40.0;0;0;0;AdvanSix Inc.;ASIX;2016-09-15;Basic Industries;3;4041.0;19829.9025;32972762.26090001;-0.002503356088122;AdvanSix Inc;0.22809389792382714;0.030524555826559635;0.7413815334439278
31.25;79.0;39.0;0;0;0;Assembly Biosciences, Inc.;ASMB;2010-12-17;Health Care;4;39090.0;63205.7;134239.41999999995;0.0018147305138142;Assembly Biosciences Inc;0.33;0.33;0.33
9.8563;7293.424462924463;49.0;0;1;0;Altisource Portfolio Solutions S.A.;ASPS;2009-08-07;Consumer Services;4;77470.0;2486526.5966;6412983.349599998;0.0051272182470109;Altisource Portfolio Solutions SA;0.2606762647628784;0.012962588109076;0.7263611555099487
39.36;271.0;54.0;0;0;0;Aspen Group Inc.;ASPU;2012-03-29;Consumer Services;3;33.0;917.0;5057.0;-0.0002070385005311;Aspen Group Inc;0.2831380107791392;0.12423481059980071;0.5926271787883636
12.1;246.0;59.0;0;0;0;Atlantic Power Corporation;AT;2010-07-23;Energy;4;143694.0;811016.6430999999;4098016.3620000025;0.0010983783436966;Atlantic Power Corporation;0.2725912678747363;0.15187921871132906;0.575529509258491
9.75;0.0;54.8125;0;0;0;Atlantic Acquisition Corp.;ATAC;2017-09-07;Finance;3;530700.0;149601.65010000003;489289.02460000006;0.0012229959049412;Atlantic Acquisition Corp;0.12026673989991345;0.05723377664883929;0.8224994813402494
10.03;0.0;54.8125;0;0;0;Atlantic Acquisition Corp.;ATACU;2017-08-09;Finance;2;428552.0;196330.06000000008;732704.6063000001;0.000216624480506;Atlantic Acquisition Corp;0.20431433810985514;0.05714282348552446;0.7385428321680853
8.57;483.0;55.0;0;0;0;ATA Inc.;ATAI;2008-01-29;Consumer Services;1;1489121.0;164436.16;360031.93000000005;0.0031729280267812;ATA Inc;0.33;0.33;0.33
101.28;138.0;51.0;0;0;1;Alphatec Holdings, Inc.;ATEC;2006-06-02;Health Care;4;357877.0;110959.40000000002;253236.8776;0.0035979962757919;Alphatec Holdings Inc;0.33;0.33;0.33
43.25;1125.0;59.0;0;0;0;Athene Holding Ltd.;ATH;2016-12-09;Finance;4;14170789.0;9383452.750999998;19600665.959900003;0.0039107486199528;Athene Holding Ltd;0.15056579056398825;0.02577234263526656;0.8236618737934688
26.63;5156.0;48.0;0;0;0;athenahealth, Inc.;ATHN;2007-09-20;Miscellaneous;3;9299906.0;5405619.14;13040035.831999997;0.004588591487198;athenahealth Inc;0.33;0.33;0.33
5.25;66.0;56.0;0;0;0;Athersys, Inc.;ATHX;2007-06-12;Health Care;1;500.0;33889658.92909997;164933462.43927416;-0.0040402278065122;Athersys Inc;0.33;0.33;0.33
7.86;16.0;54.0;0;0;0;Atomera Incorporated;ATOM;2016-08-05;Technology;4;139996.0;107877.6378;1713047.8534;0.0010794461616646;Atomera Incorporated;0.33;0.33;0.33
123.3333;0.0;40.0;0;0;0;Acorn International, Inc.;ATV;2007-05-03;Consumer Services;3;1137360.0;542044.3332000001;1356373.5999000005;0.0021219952074479;Acorn International Inc;0.33;0.33;0.33
22.6;661.0;48.0;0;0;1;AeroVironment, Inc.;AVAV;2007-01-23;Capital Goods;1;6808051.0;2333557.4709;6584828.241200004;0.0004236863814266;AeroVironment Inc;0.33;0.33;0.33
15.56;7293.424462924463;65.0;0;0;0;Broadcom Inc.;AVGO;2009-08-06;Technology;3;24196884.0;10420129.75;37938900.27770001;0.0025554797384429;Broadcom Inc;0.0757884370783964;0.05874307329456007;0.8654685020446777
8.0;10.0;51.0;0;0;0;Anavex Life Sciences Corp.;AVXL;2006-08-02;Health Care;2;500.0;7090.439999999995;28211.120000000014;0.001875252014389;Anavex Life Sciences Corp;0.33;0.33;0.33
16.11;219.0;49.0;0;0;0;AveXis, Inc.;AVXS;2016-02-11;Health Care;3;1164206.0;473486.8499999999;2831834.2671;-0.005610020413147;AveXis Inc;0.18398880446329707;0.03915568825323131;0.7768555097281933
33.7987;3900.0;55.0;0;0;0;Armstrong World Industries Inc;AWI;2006-10-12;Consumer Non-Durables;3;169852.0;459361.8725;2682445.8455000008;0.0030611666051937;Armstrong World Industries Inc;0.33;0.33;0.33
20.22;6900.0;58.0;0;0;0;American Water Works;AWK;2008-04-23;Public Utilities;2;23400575.0;12379259.06;28598063.69000002;0.0055127454702492;American Water Works;0.2580113533884287;0.20521663799881934;0.5367720375458399
20.0;7293.424462924463;54.8125;0;0;0;Alpine Global Premier Properties Fund;AWP;2007-04-26;Other;3;952300.0;2572104.32;9201454.399999993;0.0022076267851105;Alpine Global Premier Properties Fund;0.33;0.33;0.33
35.0;185.0;49.0;0;0;0;Atlantica Yield plc;AY;2014-06-13;Public Utilities;4;15448766.0;5367379.029999999;15601044.340200003;0.0006220647225243;Atlantica Yield plc;0.33;0.33;0.33
26.35;111.0;56.0;0;0;0;Aircastle Limited;AYR;2006-08-08;Technology;1;5475000.0;1615247.51;3378978.8480000016;-0.00078692980071;Aircastle Limited;0.33;0.33;0.33
584.352;63.0;42.0;0;0;0;Aytu BioScience, Inc.;AYTU;2008-09-24;Health Care;2;0.0;33889658.92909997;164933462.43927416;-0.0002665775966594;Aytu BioScience Inc;0.33;0.33;0.33
24.9;7293.424462924463;54.8125;0;0;0;StoneCastle Financial Corp;BANX;2013-11-07;Other;3;340265.0;175228.01;742170.9022999996;-0.0019948777674755;StoneCastle Financial Corp;0.0335184969007968;0.0202607307583093;0.9462208151817322
19.86;7293.424462924463;57.0;0;1;1;Liberty Media Corporation;BATRA;2016-04-18;Consumer Services;0;314699.0;5161063.6292;13084283.0303;0.0036398186875358;Liberty Media Corporation;0.11876473667629532;0.32196173254888055;0.5592735348162688
17.2914;7293.424462924463;57.0;0;1;1;Liberty Media Corporation;BATRK;2016-04-18;Consumer Services;0;589050.0;6204233.3488;23597509.1223;0.0036398186875358;Liberty Media Corporation;0.11876473667629532;0.32196173254888055;0.5592735348162688
26.7;7293.424462924463;54.8125;0;0;0;Virtus LifeSci Biotech Clinical Trials ETF;BBC;2014-12-16;Other;1;0.0;215250.14670000004;633863.5241999995;-0.0071935521707645;Virtus LifeSci Biotech Clinical Trials ETF;0.33;0.33;0.33
8.9418;98808.0;66.0;0;0;1;Banco Bradesco Sa;BBDO;2012-03-13;Finance;1;101637.0;200023.0464;270187.19960000063;0.0027717084938558;Banco Bradesco Sa;0.09873956322844601;0.24744588511821347;0.6538145431317389
34.6767;7293.424462924463;54.8125;0;0;0;VanEck Vectors Biotech ETF;BBH;2011-12-20;Other;1;33000.0;113873.1132;671172.5273000002;-0.0014852262114928;VanEck Vectors Biotech ETF;0.33;0.33;0.33
20.0;7293.424462924463;52.0;0;0;0;BalckRock Taxable Municipal Bond Trust;BBN;2010-08-27;Other;4;793312.0;537555.2100000001;3014014.057800001;-0.0038514051101736;BalckRock Taxable Municipal Bond Trust;0.33;0.33;0.33
